# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.16.1
#@/tick	1279
#@/user_id	cf1ad063-ae0e-4b0b-9414-40d81ae789a9
a 	啊	c=6 d=4.74736 t=1279
an jian 	按键	c=1 d=0.927743 t=1279
an pai 	安排	c=1 d=1 t=1279
an se 	暗色	c=1 d=0.97531 t=1279
an zhao 	按照	c=4 d=2.36915 t=1279
an zhe ge 	按这个	c=1 d=0.995012 t=1279
an zhuang 	安装	c=10 d=5.75195 t=1279
an zhuang le 	安装了	c=1 d=1 t=1233
an zhuang zai 	安装在	c=1 d=1 t=1271
ba 	把	c=11 d=6.12751 t=1279
ban ben 	版本	c=1 d=0.718924 t=1279
bang wo 	帮我	c=1 d=0.995012 t=1279
bao cuo 	报错	c=1 d=1.09418 t=1279
bao han 	包含	c=1 d=0.860708 t=1279
bao liu 	保留	c=4 d=3.01576 t=1279
bei fen 	备份	c=1 d=0.88692 t=1279
bei jing 	背景	c=1 d=1 t=1279
ben 	本	c=1 d=1 t=1207
bi jiao 	比较	c=1 d=0.995012 t=1279
bi ru 	比如	c=1 d=0.932394 t=1279
bi zhi 	壁纸	c=7 d=5.9611 t=1279
bian cheng 	变成	c=1 d=0.722527 t=1279
biao shi 	表示	c=1 d=0.965605 t=1279
bie lian 	别恋	c=0 d=0.0965605 t=1279
bing 	并	c=2 d=1.98927 t=1279
bing gao su wo 	并告诉我	c=1 d=0.965605 t=1279
bing rang 	并让	c=1 d=0.900325 t=1279
bu 	不	c=0 d=0.0955997 t=1279
bu bao cuo 	不报错	c=1 d=0.960789 t=1279
bu dong 	不动	c=1 d=1 t=1279
bu guo 	不过	c=2 d=1.87203 t=1279
bu he shi 	不合适	c=1 d=0.882497 t=1279
bu hui 	不会	c=2 d=1.85829 t=1279
bu liao 	不了	c=1 d=0.970446 t=1279
bu neng 	不能	c=6 d=4.61868 t=1279
bu shi 	不是	c=1 d=0.869358 t=1279
bu xing 	不行	c=5 d=4.00623 t=1279
bu xu yao 	不需要	c=1 d=1 t=1279
bu yao 	不要	c=7 d=4.06759 t=1279
bu yi yang 	不一样	c=3 d=2.31014 t=1279
bu yi zhi 	不一致	c=2 d=1.88544 t=1279
bu yong 	不用	c=3 d=1.97248 t=1279
bu yong le 	不用了	c=1 d=0.873716 t=1279
cai dan 	菜单	c=2 d=1.83946 t=1279
can kao 	参考	c=1 d=0.97531 t=1279
can shu 	参数	c=1 d=0.790571 t=1279
cang ku 	仓库	c=1 d=0.733447 t=1279
cha jian 	插件	c=1 d=0.932394 t=1279
chao guo 	超过	c=1 d=0.99005 t=1279
che hui 	撤回	c=1 d=1 t=1225
chen jin shi 	沉浸式	c=1 d=0.995012 t=1279
cheng 	成	c=4 d=3.52383 t=1279
cheng xu 	程序	c=1 d=0.923116 t=1279
chi gua 	吃瓜	c=1 d=0.995012 t=1279
chong qi 	重启	c=1 d=0.97531 t=1279
chong xin 	重新	c=1 d=0.99005 t=1279
chu xian 	出现	c=1 d=0.99005 t=1279
chuang kou 	窗口	c=6 d=5.23702 t=1279
cong 	从	c=3 d=2.17 t=1279
da 	大	c=4 d=3.37451 t=1279
da dian 	大点	c=1 d=0.847894 t=1279
da gai 	大概	c=1 d=0.946485 t=1279
da kai 	打开	c=5 d=4.25542 t=1279
da sai 	大赛	c=1 d=0.951229 t=1279
da xiao 	大小	c=4 d=3.13075 t=1279
dai 	带	c=0 d=0.0995012 t=1279
dai dai 	呆呆	c=0 d=0.0995012 t=1279
dai dai dai dai dai 	带呆呆呆呆	c=1 d=1 t=1279
dan 	但	c=3 d=2.51534 t=1279
dan shi 	但是	c=3 d=2.64308 t=1279
